repo,us_id,commit,date,release
ng-platform-ui,CORE-24465,f0a49976bf9c9e68ee9e7f4316979a203ea00a38,2026-03-20T20:18:22+00:00,release/2026-03-24
ng-platform-ui,CORE-24645,f0a49976bf9c9e68ee9e7f4316979a203ea00a38,2026-03-20T20:18:22+00:00,release/2026-03-24
ng-platform-ui,POC-57252,a151fe4d4fb04f5e94da08d1626e4581a9efc2ba,2026-03-20T19:07:11+00:00,release/2026-03-24
ng-platform-ui,POC-57465,70d032e329f05374ee309e5a0523393c23135022,2026-03-20T18:56:57+00:00,release/2026-03-24
ng-platform-ui,ES-6145,943ded5c3c664cb461b34acbeb2cfceb0f77bad4,2026-03-20T18:49:28+00:00,release/2026-03-24
ng-platform-ui,ES-5804,2c987e493ad596f172be129d77dac7d7bc4dd879,2026-03-20T17:43:51+00:00,release/2026-03-24
ng-platform-ui,CORE-26189,0030f4e9dfd04cfa185453c9028cd898398d3ad7,2026-03-20T16:17:27+00:00,release/2026-03-24
ng-platform-ui,MP-2849,0daf78ef820317f288a9f98020ec61fbb05f5710,2026-03-20T16:17:22+00:00,release/2026-03-24
ng-platform-ui,CORE-25656,b985ab64df3fc779a8b21cdb047fc0a87593f2fb,2026-03-20T14:35:20+00:00,release/2026-03-24
ng-platform-ui,MP-2843,5862e8acb0f7ec81705e97dc450633c68e01e086,2026-03-20T14:24:10+00:00,release/2026-03-24
ng-platform-ui,POC-57550,79220e3368f0eb540d89c211b3be530001104112,2026-03-20T02:51:45+00:00,release/2026-03-24
ng-platform-ui,POC-57472,03d74c0f6a03e8c6099eb0111b8c58f70ff7c3b1,2026-03-20T02:41:45+00:00,release/2026-03-24
ng-platform-ui,POC-57354,ab65536d3710db31ffa49ad7cf314a07861b1561,2026-03-20T01:32:31+00:00,release/2026-03-24
ng-platform-ui,POC-57400,8ddd3c5a7b8776911b6622feb60f5397d3f0f95d,2026-03-19T23:21:09+00:00,release/2026-03-24
ng-platform-ui,POC-56751,8ddd3c5a7b8776911b6622feb60f5397d3f0f95d,2026-03-19T23:21:09+00:00,release/2026-03-24
ng-platform-ui,POC-51166,8ddd3c5a7b8776911b6622feb60f5397d3f0f95d,2026-03-19T23:21:09+00:00,release/2026-03-24
ng-platform-ui,FAA-2123,a9c907a4123c78a441636bd9d7ac36a76f165fe5,2026-03-19T19:31:13+00:00,release/2026-03-24
ng-platform-ui,FAA-2133,a9c907a4123c78a441636bd9d7ac36a76f165fe5,2026-03-19T19:31:13+00:00,release/2026-03-24
ng-platform-ui,CORE-26200,c1d8c39886bc61eff02bfad0a519fe5ea7da85a6,2026-03-18T20:08:55+00:00,release/2026-03-24
ng-platform-ui,DAP-11568,30982341231891fd0a9ab37f3d9b466eeee577cc,2026-03-17T20:35:39+00:00,release/2026-03-24
ng-platform-ui,POC-55238,b4f3cf2cd999b861adf2a536cef020f314c398b7,2026-03-19T16:56:30+00:00,release/2026-03-24
ng-platform-ui,CP-21664,280211d0ff4be759a0d08f2767e77c0dfab6159f,2026-03-19T16:20:00+00:00,release/2026-03-24
ng-platform-ui,POC-57352,5706b6570184f465756eccd67e4448414838893d,2026-03-18T21:31:10+00:00,release/2026-03-24
ng-platform-ui,CORE-25357,cd4b6bfa5ecd46f6a2dd89098578b903814bdc19,2026-03-18T21:47:46+00:00,release/2026-03-24
ng-platform-ui,CORE-25887,9f7b0485d0da457176f25ddcafd7ac1ef15d7aa9,2026-03-18T19:49:40+00:00,release/2026-03-24
ng-platform-ui,POC-57208,5195e01e6719f5b9ed5f71ab620a7a3346dfaf22,2026-03-17T18:25:50+00:00,release/2026-03-24
ng-platform-ui,CORE-26012,16520d182062aa57c6a544f8190e9260fe722ea0,2026-03-18T17:25:44+00:00,release/2026-03-24
ng-platform-ui,CORE-25276,16520d182062aa57c6a544f8190e9260fe722ea0,2026-03-18T17:25:44+00:00,release/2026-03-24
ng-platform-ui,POC-57473,94405df711b4f5cd38ef2657683c48aa900f32ee,2026-03-18T13:37:57+00:00,release/2026-03-24
ng-platform-ui,TICKET-57473,94405df711b4f5cd38ef2657683c48aa900f32ee,2026-03-18T13:37:57+00:00,release/2026-03-24
ng-platform-ui,POC-57185,1bb41dae582ae17ff9d09fd446ba3234fb3bde8c,2026-03-18T07:55:23+00:00,release/2026-03-24
ng-platform-ui,MP-2763,6217622b9163b5298d18b763cc7ec0f5040c6eec,2026-03-18T06:16:28+00:00,release/2026-03-24
ng-platform-ui,FAA-2125,405181c72ec50eec34dbfc7c148b0c3a42b11105,2026-03-17T23:05:10+00:00,release/2026-03-24
ng-platform-ui,ES-6093,21139ae92eca88fdf67de843703d163a6d6c034e,2026-03-17T20:56:25+00:00,release/2026-03-24
ng-platform-ui,POC-57312,183934d1bd6b080cd2bf69834a8eaefdf9b3ccb4,2026-03-17T20:52:49+00:00,release/2026-03-24
ng-platform-ui,CORE-25824,ac6dffe3febc98ed3aeb217467ba18713597542a,2026-03-17T18:26:34+00:00,release/2026-03-24
ng-platform-ui,CORE-26107,5021950576be5b1d9999da881c9164aefebb41d9,2026-03-17T18:09:50+00:00,release/2026-03-24
ng-platform-ui,CORE-25706,aecc299b5354d8786869f2483cc556c38425076e,2026-03-17T18:05:27+00:00,release/2026-03-24
ng-platform-ui,MP-2774,765ad0560aa99bb11fba787976c0aa7f53f15f02,2026-03-17T17:18:23+00:00,release/2026-03-24
ng-platform-ui,TICKET-53808,14f49f92a74d59b37870cff2f7277ef276b2528b,2026-03-17T16:45:37+00:00,release/2026-03-24
ng-platform-ui,POC-56624,14f49f92a74d59b37870cff2f7277ef276b2528b,2026-03-17T16:45:37+00:00,release/2026-03-24
ng-platform-ui,POC-57273,3294bb3ab72da2a2543683d35aa513c8ee063938,2026-03-17T16:39:22+00:00,release/2026-03-24
ng-platform-ui,CORE-25654,50db89297da94801ce05d54e06f01ba816bdd7c4,2026-03-17T16:34:24+00:00,release/2026-03-24
ng-platform-ui,DAP-11530,932e46ff83a72275d6c961ee21b7d9f93751e3b9,2026-03-17T16:24:56+00:00,release/2026-03-24
ng-platform-ui,CORE-25630,03469af2a4ac69deac1979c7fd14cc217d6f0771,2026-03-17T16:03:08+00:00,release/2026-03-24
ng-platform-ui,CORE-25763,6be241fb498d06082ae8f27945d8ba2abfaa06f8,2026-03-17T15:36:26+00:00,release/2026-03-24
ng-platform-ui,FAA-2038,9068e28a2dcb123450c246b038a8846da983c395,2026-03-17T15:33:17+00:00,release/2026-03-24
ng-platform-ui,CORE-25762,f6df83e5f3a0f8c3a0b85e246829a3634981c394,2026-03-17T14:59:30+00:00,release/2026-03-24
ng-platform-ui,POC-53809,286822d7b489758dab88d980f964dcee86d09784,2026-03-17T14:12:56+00:00,release/2026-03-24
ng-platform-ui,CORE-25009,29305384578ee02a8c4828500285f3448766bbb2,2026-03-17T09:20:43+00:00,release/2026-03-24
notifications,CORE-26136,388d13b6feebc0a5e828ebe9c7c50ee1f7bba466,2026-03-30T17:36:43+00:00,release/2026-03-24
notifications,CORE-24999,708772292f55650c05ac24d8588b52cb244c21d0,2026-02-27T07:23:49+00:00,release/2026-03-24
notifications,POC-55774,3958beac38ca7c651ca36b21535293bd7bea4f02,2026-02-27T07:52:39+00:00,release/2026-03-24
notifications,CORE-23676,d11cbb60f256374b5cd958a9ae34e0e8e003f015,2026-02-24T05:21:55+00:00,release/2026-03-24
notifications,CE-9672,3a4d4b312c0ed0a05c25079a20a6b5f96d11fecb,2026-02-24T05:21:50+00:00,release/2026-03-24
